Complaint_ID,Date_Time,Roll_Number,Student_Department,Year,Semester,Complaint,Category,Sentiment,Priority,Assigned_Department,Status,Suggested_Resolution
CMP-20260906100000,2026-09-06 14:15:50,22A101,CSE,1,1,The examination timetable has not been released yet.,Academic,Negative,Medium,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100001,2026-09-06 14:20:50,22A102,CSM,2,1,The semester results are delayed.,Academic,Negative,Medium,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100002,2026-09-06 14:25:50,22A103,AIML,3,1,The syllabus for the subject has not been provided.,Academic,Negative,Low,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100003,2026-09-06 14:30:50,22A104,IT,2,1,There is confusion regarding the examination schedule.,Academic,Negative,Medium,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100004,2026-09-06 14:35:50,22A105,AIDS,4,1,Classes are frequently cancelled without prior notice.,Academic,Negative,Medium,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100005,2026-09-06 14:40:50,22A106,ECE,1,2,The marks have not been updated in the student portal.,Academic,Negative,Medium,Academic Department,Pending,The Academic Department should investigate the issue and provide a resolution.
CMP-20260906100006,2026-09-06 14:45:50,22A107,EEE,3,1,There is no drinking water available in our block.,Infrastructure,Negative,Medium,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100007,2026-09-06 14:50:50,22A108,CSD,2,2,The washrooms are not cleaned properly.,Infrastructure,Negative,Medium,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100008,2026-09-06 14:55:50,22A109,MECH,4,1,The classroom fans are not working.,Infrastructure,Negative,Medium,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100009,2026-09-06 15:00:50,22A110,AUTOMOBILE,1,1,There is water leakage from the ceiling.,Infrastructure,Negative,High,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100010,2026-09-06 15:05:50,22A101,CSE,1,1,The lights in the classroom are not working.,Infrastructure,Negative,Low,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100011,2026-09-06 15:10:50,22A102,CSM,2,1,The lift in the academic block is not functioning.,Infrastructure,Negative,Medium,Maintenance Department,Pending,The Maintenance Department should inspect and resolve the issue promptly.
CMP-20260906100012,2026-09-06 15:15:50,22A103,AIML,3,1,Wi-Fi is not working in the classroom.,Technical,Negative,Medium,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100013,2026-09-06 15:20:50,22A104,IT,2,1,The student portal is not opening.,Technical,Negative,Medium,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100014,2026-09-06 15:25:50,22A105,AIDS,4,1,The biometric attendance system is not working.,Technical,Negative,Medium,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100015,2026-09-06 15:30:50,22A106,ECE,1,2,The computer in the laboratory is not functioning.,Technical,Negative,Medium,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100016,2026-09-06 15:35:50,22A107,EEE,3,1,I am unable to log in to the student portal.,Technical,Negative,Medium,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100017,2026-09-06 15:40:50,22A108,CSD,2,2,The internet connection is very slow in the computer lab.,Technical,Negative,Low,IT Support Department,Pending,The IT Support Department should investigate and resolve the technical issue.
CMP-20260906100018,2026-09-06 15:45:50,22A109,MECH,4,1,My fee payment is not updated.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100019,2026-09-06 15:50:50,22A110,AUTOMOBILE,1,1,The scholarship amount has not been received.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100020,2026-09-06 15:55:50,22A101,CSE,1,1,I have not received my fee refund yet.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100021,2026-09-06 16:00:50,22A102,CSM,2,1,There is an incorrect fee amount shown in the portal.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100022,2026-09-06 16:05:50,22A103,AIML,3,1,My payment status is still showing pending.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100023,2026-09-06 16:10:50,22A104,IT,2,1,The fee payment portal is showing an error.,Finance,Negative,Medium,Accounts and Finance Department,Pending,The Accounts and Finance Department should review and resolve the payment issue.
CMP-20260906100024,2026-09-06 16:15:50,22A105,AIDS,4,1,The library is overcrowded and there are not enough study spaces.,Administrative,Negative,Medium,Administration Department,Pending,The Administration Department should investigate and resolve the issue.
CMP-20260906100025,2026-09-06 16:20:50,22A106,ECE,1,2,There is not enough parking space for students.,Administrative,Negative,Medium,Administration Department,Pending,The Administration Department should investigate and resolve the issue.
CMP-20260906100026,2026-09-06 16:25:50,22A107,EEE,3,1,The college bus is arriving late regularly.,Administrative,Negative,Medium,Administration Department,Pending,The Administration Department should investigate and resolve the issue.
CMP-20260906100027,2026-09-06 16:30:50,22A108,CSD,2,2,The cafeteria is overcrowded during lunch time.,Administrative,Negative,Low,Administration Department,Pending,The Administration Department should investigate and resolve the issue.
